ens,symbol,allenGenes
ENSMUSG00000061143,Maml3,Maml3
ENSMUSG00000102539,Gm37229,Gm37229
ENSMUSG00000104161,Gm20089,Gm20089
ENSMUSG00000103655,Gm37202,Gm37202
ENSMUSG00000103726,Gm30074,Gm30074
ENSMUSG00000104055,Gm38132,Gm38132
ENSMUSG00000103170,Gm37170,Gm37170
ENSMUSG00000044167,Foxo1,Foxo1
ENSMUSG00000092405,Gm20402,Gm20402
ENSMUSG00000103965,Gm30173,Gm30173
ENSMUSG00000102785,Gm2447,Gm2447
ENSMUSG00000104109,Gm30292,Gm30292
ENSMUSG00000104401,Gm20750,Gm20750
ENSMUSG00000027742,Cog6,Cog6
ENSMUSG00000104850,Gm42901,Gm42901
ENSMUSG00000048332,Lhfp,Lhfp
ENSMUSG00000104968,Gm43803,Gm43803
ENSMUSG00000042997,Nhlrc3,Nhlrc3
ENSMUSG00000085174,Gm16206,Gm16206
ENSMUSG00000049504,Proser1,Proser1
ENSMUSG00000027744,Stoml3,Stoml3
ENSMUSG00000037016,Frem2,Frem2
ENSMUSG00000105168,Gm30735,Gm30735
ENSMUSG00000106270,C820005J03Rik,C820005J03Rik
ENSMUSG00000078742,Gm10985,Gm10985
ENSMUSG00000027746,Ufm1,Ufm1
ENSMUSG00000106577,Gm31026,Gm31026
ENSMUSG00000027748,Trpc4,Trpc4
ENSMUSG00000027750,Postn,Postn
ENSMUSG00000027751,Supt20,Supt20
ENSMUSG00000094487,Gm21958,Gm21958
ENSMUSG00000027752,Exosc8,Exosc8
ENSMUSG00000036632,Alg5,Alg5
ENSMUSG00000027796,Smad9,Smad9
ENSMUSG00000036615,Rfxap,Rfxap
ENSMUSG00000056306,Sertm1,Sertm1
ENSMUSG00000027793,Ccna1,Ccna1
ENSMUSG00000106589,4931419H13Rik,4931419H13Rik
ENSMUSG00000036580,Spg20,Spg20
ENSMUSG00000048655,Ccdc169,Ccdc169
ENSMUSG00000027794,Sohlh2,Sohlh2
ENSMUSG00000027797,Dclk1,Dclk1
ENSMUSG00000105975,Gm42609,Gm42609
ENSMUSG00000094962,Gm21954,Gm21954
ENSMUSG00000106334,Gm43549,Gm43549
ENSMUSG00000027799,Nbea,Nbea
ENSMUSG00000056947,Mab21l1,Mab21l1
ENSMUSG00000104677,Gm43376,Gm43376
ENSMUSG00000027800,Tm4sf1,Tm4sf1
ENSMUSG00000027801,Tm4sf4,Tm4sf4
ENSMUSG00000027803,Wwtr1,Wwtr1
ENSMUSG00000097339,Gm26671,Gm26671
ENSMUSG00000036513,Commd2,Commd2
ENSMUSG00000074591,Ankub1,Ankub1
ENSMUSG00000036503,Rnf13,Rnf13
ENSMUSG00000027805,Pfn2,Pfn2
ENSMUSG00000105003,Gm40055,Gm40055
ENSMUSG00000104586,4921539H07Rik,4921539H07Rik
ENSMUSG00000100666,1700007F19Rik,1700007F19Rik
ENSMUSG00000027806,Tsc22d2,Tsc22d2
ENSMUSG00000027808,Serp1,Serp1
ENSMUSG00000027810,Eif2a,Eif2a
ENSMUSG00000075700,Selenot,Selenot
ENSMUSG00000070471,Erich6,Erich6
ENSMUSG00000036432,Siah2,Siah2
ENSMUSG00000097725,4930593A02Rik,4930593A02Rik
ENSMUSG00000101860,Mindy4b-ps,Mindy4b-ps
ENSMUSG00000043850,Clrn1,Clrn1
ENSMUSG00000105945,Gm43570,Gm43570
ENSMUSG00000056476,Med12l,Med12l
ENSMUSG00000050075,Gpr171,Gpr171
ENSMUSG00000036381,P2ry14,P2ry14
ENSMUSG00000051431,Gpr87,Gpr87
ENSMUSG00000036362,P2ry13,P2ry13
ENSMUSG00000036353,P2ry12,P2ry12
ENSMUSG00000036334,Igsf10,Igsf10
ENSMUSG00000103668,Gm38186,Gm38186
ENSMUSG00000090527,Gm5538,Gm5538
ENSMUSG00000095522,Gm8298,Gm8298
ENSMUSG00000036951,C130079G13Rik,C130079G13Rik
ENSMUSG00000091376,Aadacl2,Aadacl2
ENSMUSG00000027761,Aadac,Aadac
ENSMUSG00000027762,Sucnr1,Sucnr1
ENSMUSG00000027763,Mbnl1,Mbnl1
ENSMUSG00000103587,Gm38326,Gm38326
ENSMUSG00000102564,Gm37035,Gm37035
ENSMUSG00000027765,P2ry1,P2ry1
ENSMUSG00000103473,Gm37696,Gm37696
ENSMUSG00000036894,Rap2b,Rap2b
ENSMUSG00000053706,B430305J03Rik,B430305J03Rik
ENSMUSG00000103502,9330121J05Rik,9330121J05Rik
ENSMUSG00000036885,Arhgef26,Arhgef26
ENSMUSG00000027770,Dhx36,Dhx36
ENSMUSG00000043441,Gpr149,Gpr149
ENSMUSG00000027820,Mme,Mme
ENSMUSG00000104336,Gm34240,Gm34240
ENSMUSG00000103476,Strit1,Strit1
ENSMUSG00000036834,Plch1,Plch1
ENSMUSG00000048581,E130311K13Rik,E130311K13Rik
ENSMUSG00000027822,Slc33a1,Slc33a1
ENSMUSG00000097724,Gm26850,Gm26850
ENSMUSG00000027823,Gmps,Gmps
ENSMUSG00000027824,Vmn2r1,Vmn2r1
ENSMUSG00000043897,Vmn2r2,Vmn2r2
ENSMUSG00000091572,Vmn2r3,Vmn2r3
ENSMUSG00000092049,Vmn2r4,Vmn2r4
ENSMUSG00000068999,Vmn2r5,Vmn2r5
ENSMUSG00000090581,Vmn2r6,Vmn2r6
ENSMUSG00000062200,Vmn2r7,Vmn2r7
ENSMUSG00000027827,Kcnab1,Kcnab1
ENSMUSG00000104093,A330015K06Rik,A330015K06Rik
ENSMUSG00000090120,A730090N16Rik,A730090N16Rik
ENSMUSG00000027828,Ssr3,Ssr3
ENSMUSG00000034640,Tiparp,Tiparp
ENSMUSG00000074579,Lekr1,Lekr1
ENSMUSG00000103620,Gm37359,Gm37359
ENSMUSG00000027829,Ccnl1,Ccnl1
ENSMUSG00000103041,Gm37305,Gm37305
ENSMUSG00000027831,Veph1,Veph1
ENSMUSG00000027832,Ptx3,Ptx3
ENSMUSG00000027833,Shox2,Shox2
ENSMUSG00000034544,Rsrc1,Rsrc1
ENSMUSG00000090408,Gm17402,Gm17402
ENSMUSG00000048416,Mlf1,Mlf1
ENSMUSG00000027774,Gfm1,Gfm1
ENSMUSG00000047557,Lxn,Lxn
ENSMUSG00000049404,Rarres1,Rarres1
ENSMUSG00000103718,Gm35299,Gm35299
ENSMUSG00000104382,4930402C01Rik,4930402C01Rik
ENSMUSG00000027775,Mfsd1,Mfsd1
ENSMUSG00000027777,Schip1,Schip1
ENSMUSG00000027776,Il12a,Il12a
ENSMUSG00000102677,4930535E02Rik,4930535E02Rik
ENSMUSG00000102936,Gm35584,Gm35584
ENSMUSG00000046999,1110032F04Rik,1110032F04Rik
ENSMUSG00000027778,Ift80,Ift80
ENSMUSG00000034349,Smc4,Smc4
ENSMUSG00000034317,Trim59,Trim59
ENSMUSG00000027782,Kpna4,Kpna4
ENSMUSG00000094763,Gm1647,Gm1647
ENSMUSG00000098207,Arl14,Arl14
ENSMUSG00000027784,Ppm1l,Ppm1l
ENSMUSG00000043300,B3galnt1,B3galnt1
ENSMUSG00000027787,Nmd3,Nmd3
ENSMUSG00000043461,Sptssb,Sptssb
ENSMUSG00000027788,Otol1,Otol1
ENSMUSG00000027790,Sis,Sis
ENSMUSG00000048304,Slitrk3,Slitrk3
ENSMUSG00000103428,Gm20754,Gm20754
ENSMUSG00000102820,Gm38353,Gm38353
ENSMUSG00000102362,4930509J09Rik,4930509J09Rik
ENSMUSG00000027792,Bche,Bche
ENSMUSG00000104096,Gm20356,Gm20356
ENSMUSG00000034151,Zbbx,Zbbx
ENSMUSG00000034139,Serpini2,Serpini2
ENSMUSG00000104301,Wdr49,Wdr49
ENSMUSG00000027835,Pdcd10,Pdcd10
ENSMUSG00000027834,Serpini1,Serpini1
ENSMUSG00000099370,Platr10,Platr10
ENSMUSG00000100962,Gm29133,Gm29133
ENSMUSG00000034109,Golim4,Golim4
ENSMUSG00000104448,Gm37256,Gm37256
ENSMUSG00000034098,Fstl5,Fstl5
ENSMUSG00000062232,Rapgef2,Rapgef2
ENSMUSG00000104585,4921511C10Rik,4921511C10Rik
ENSMUSG00000102545,6430573P05Rik,6430573P05Rik
ENSMUSG00000091685,Gm17359,Gm17359
ENSMUSG00000061175,Fnip2,Fnip2
ENSMUSG00000089746,Gm3513,Gm3513
ENSMUSG00000068957,4930589L23Rik,4930589L23Rik
ENSMUSG00000027804,Ppid,Ppid
ENSMUSG00000027809,Etfdh,Etfdh
ENSMUSG00000027811,4930579G24Rik,4930579G24Rik
ENSMUSG00000034009,Rxfp1,Rxfp1
ENSMUSG00000098204,Gm26984,Gm26984
ENSMUSG00000027956,Tmem144,Tmem144
ENSMUSG00000102191,Gm36569,Gm36569
ENSMUSG00000027955,Gask1b,Gask1b
ENSMUSG00000103181,A330069K06Rik,A330069K06Rik
ENSMUSG00000103929,Gm37892,Gm37892
ENSMUSG00000102379,Gm37971,Gm37971
ENSMUSG00000033981,Gria2,Gria2
ENSMUSG00000028020,Glrb,Glrb
ENSMUSG00000105092,Gm42468,Gm42468
ENSMUSG00000106293,Gm42476,Gm42476
ENSMUSG00000028019,Pdgfc,Pdgfc
ENSMUSG00000085106,Gm16000,Gm16000
ENSMUSG00000104732,Gm43346,Gm43346
ENSMUSG00000103695,A830029E22Rik,A830029E22Rik
ENSMUSG00000056023,Gm9989,Gm9989
ENSMUSG00000028015,Ctso,Ctso
ENSMUSG00000028011,Tdo2,Tdo2
ENSMUSG00000028008,Asic5,Asic5
ENSMUSG00000028005,Gucy1b1,Gucy1b1
ENSMUSG00000033910,Gucy1a1,Gucy1a1
ENSMUSG00000033900,Map9,Map9
ENSMUSG00000028004,Npy2r,Npy2r
ENSMUSG00000102629,Gm29999,Gm29999
ENSMUSG00000104898,Gm30043,Gm30043
ENSMUSG00000105034,Gm43348,Gm43348
ENSMUSG00000033882,Rbm46,Rbm46
ENSMUSG00000086273,Rbm46os,Rbm46os
ENSMUSG00000028003,Lrat,Lrat
ENSMUSG00000102595,Gm30097,Gm30097
ENSMUSG00000033860,Fgg,Fgg
ENSMUSG00000028001,Fga,Fga
ENSMUSG00000033831,Fgb,Fgb
ENSMUSG00000027998,Plrg1,Plrg1
ENSMUSG00000074517,Gm10710,Gm10710
ENSMUSG00000102692,Dchs2,Dchs2
ENSMUSG00000103459,Gm38096,Gm38096
ENSMUSG00000101334,1700028M03Rik,1700028M03Rik
ENSMUSG00000027996,Sfrp2,Sfrp2
ENSMUSG00000097250,Gm26771,Gm26771
ENSMUSG00000027995,Tlr2,Tlr2
ENSMUSG00000033767,Tmem131l,Tmem131l
ENSMUSG00000033752,Mnd1,Mnd1
ENSMUSG00000027993,Trim2,Trim2
ENSMUSG00000104043,Gm6525,Gm6525
ENSMUSG00000104004,4930565D16Rik,4930565D16Rik
ENSMUSG00000041842,Fhdc1,Fhdc1
ENSMUSG00000074513,Arfip1,Arfip1
ENSMUSG00000102805,Gm37240,Gm37240
ENSMUSG00000047819,Tigd4,Tigd4
ENSMUSG00000056498,Tmem154,Tmem154
ENSMUSG00000028086,Fbxw7,Fbxw7
ENSMUSG00000099995,1700036G14Rik,1700036G14Rik
ENSMUSG00000105012,Gm42813,Gm42813
ENSMUSG00000110441,Gm45790,Gm45790
ENSMUSG00000106422,Gm42812,Gm42812
ENSMUSG00000085527,Gm15535,Gm15535
ENSMUSG00000028085,Gatb,Gatb
ENSMUSG00000051000,Fam160a1,Fam160a1
ENSMUSG00000031286,Glt28d2,Glt28d2
ENSMUSG00000028082,Sh3d19,Sh3d19
ENSMUSG00000049013,Prss48,Prss48
ENSMUSG00000028081,Rps3a1,Rps3a1
ENSMUSG00000103408,Gm37933,Gm37933
ENSMUSG00000028080,Lrba,Lrba
ENSMUSG00000057777,Mab21l2,Mab21l2
ENSMUSG00000104108,Gm37876,Gm37876
ENSMUSG00000028078,Dclk2,Dclk2
ENSMUSG00000028076,Cd1d1,Cd1d1
ENSMUSG00000041734,Kirrel,Kirrel
ENSMUSG00000102893,Gm37855,Gm37855
ENSMUSG00000015852,Fcrls,Fcrls
ENSMUSG00000015854,Cd5l,Cd5l
ENSMUSG00000059994,Fcrl1,Fcrl1
ENSMUSG00000048031,Fcrl5,Fcrl5
ENSMUSG00000003382,Etv3,Etv3
ENSMUSG00000118505,ETV3L,ETV3L
ENSMUSG00000041977,Arhgef11,Arhgef11
ENSMUSG00000023084,Lrrc71,Lrrc71
ENSMUSG00000028073,Pear1,Pear1
ENSMUSG00000028072,Ntrk1,Ntrk1
ENSMUSG00000005640,Insrr,Insrr
ENSMUSG00000028071,Sh2d2a,Sh2d2a
ENSMUSG00000004895,Prcc,Prcc
ENSMUSG00000004897,Hdgf,Hdgf
ENSMUSG00000019710,Mrpl24,Mrpl24
ENSMUSG00000004896,Rrnad1,Rrnad1
ENSMUSG00000048039,Isg20l2,Isg20l2
ENSMUSG00000004885,Crabp2,Crabp2
ENSMUSG00000004891,Nes,Nes
ENSMUSG00000004892,Bcan,Bcan
ENSMUSG00000004894,Hapln2,Hapln2
ENSMUSG00000028069,Gpatch4,Gpatch4
ENSMUSG00000028070,Naxe,Naxe
ENSMUSG00000051036,Ttc24,Ttc24
ENSMUSG00000028068,Iqgap3,Iqgap3
ENSMUSG00000001419,Mef2d,Mef2d
ENSMUSG00000096935,1700113A16Rik,1700113A16Rik
ENSMUSG00000097280,AI849053,AI849053
ENSMUSG00000097428,AW047730,AW047730
ENSMUSG00000097156,Gm3764,Gm3764
ENSMUSG00000104445,Rhbg,Rhbg
ENSMUSG00000010538,Tsacc,Tsacc
ENSMUSG00000001416,Cct3,Cct3
ENSMUSG00000001418,Glmp,Glmp
ENSMUSG00000001420,Tmem79,Tmem79
ENSMUSG00000001415,Smg5,Smg5
ENSMUSG00000041423,Paqr6,Paqr6
ENSMUSG00000074489,Bglap3,Bglap3
ENSMUSG00000074486,Bglap2,Bglap2
ENSMUSG00000074483,Bglap,Bglap
ENSMUSG00000028066,Pmf1,Pmf1
ENSMUSG00000050144,Slc25a44,Slc25a44
ENSMUSG00000028064,Sema4a,Sema4a
ENSMUSG00000028063,Lmna,Lmna
ENSMUSG00000103115,Gm37584,Gm37584
ENSMUSG00000074480,Mex3a,Mex3a
ENSMUSG00000008601,Rab25,Rab25
ENSMUSG00000028062,Lamtor2,Lamtor2
ENSMUSG00000008604,Ubqln4,Ubqln4
ENSMUSG00000041355,Ssr2,Ssr2
ENSMUSG00000028059,Arhgef2,Arhgef2
ENSMUSG00000093390,Gm20652,Gm20652
ENSMUSG00000049741,Rxfp4,Rxfp4
ENSMUSG00000105512,Gm43714,Gm43714
ENSMUSG00000028060,Khdc4,Khdc4
ENSMUSG00000028057,Rit1,Rit1
ENSMUSG00000091881,Gm17146,Gm17146
ENSMUSG00000068923,Syt11,Syt11
ENSMUSG00000098912,1500004A13Rik,1500004A13Rik
ENSMUSG00000054199,Gon4l,Gon4l
ENSMUSG00000106218,Gm43713,Gm43713
ENSMUSG00000068922,Msto1,Msto1
ENSMUSG00000068921,Dap3,Dap3
ENSMUSG00000028053,Ash1l,Ash1l
ENSMUSG00000041263,Rusc1,Rusc1
ENSMUSG00000059743,Fdps,Fdps
ENSMUSG00000041237,Pklr,Pklr
ENSMUSG00000028051,Hcn3,Hcn3
ENSMUSG00000068917,Clk2,Clk2
ENSMUSG00000028049,Scamp3,Scamp3
ENSMUSG00000086718,Gm16069,Gm16069
ENSMUSG00000032657,Fam189b,Fam189b
ENSMUSG00000028048,Gba,Gba
ENSMUSG00000064068,Mtx1,Mtx1
ENSMUSG00000028047,Thbs3,Thbs3
ENSMUSG00000042784,Muc1,Muc1
ENSMUSG00000042766,Trim46,Trim46
ENSMUSG00000042747,Krtcap2,Krtcap2
ENSMUSG00000042737,Dpm3,Dpm3
ENSMUSG00000027953,Slc50a1,Slc50a1
ENSMUSG00000027954,Efna1,Efna1
ENSMUSG00000028039,Efna3,Efna3
ENSMUSG00000086389,Gm15998,Gm15998
ENSMUSG00000028040,Efna4,Efna4
ENSMUSG00000097004,4731419I09Rik,4731419I09Rik
ENSMUSG00000028041,Adam15,Adam15
ENSMUSG00000042672,Dcst1,Dcst1
ENSMUSG00000109293,Dcst2,Dcst2
ENSMUSG00000028042,Zbtb7b,Zbtb7b
ENSMUSG00000074466,Gm15417,Gm15417
ENSMUSG00000078173,Lenep,Lenep
ENSMUSG00000042642,Flad1,Flad1
ENSMUSG00000028044,Cks1b,Cks1b
ENSMUSG00000042626,Shc1,Shc1
ENSMUSG00000047824,Pygo2,Pygo2
ENSMUSG00000042613,Pbxip1,Pbxip1
ENSMUSG00000027952,Pmvk,Pmvk
ENSMUSG00000000794,Kcnn3,Kcnn3
ENSMUSG00000027951,Adar,Adar
ENSMUSG00000027950,Chrnb2,Chrnb2
ENSMUSG00000042579,4632404H12Rik,4632404H12Rik
ENSMUSG00000042572,Ube2q1,Ube2q1
ENSMUSG00000046280,She,She
ENSMUSG00000027947,Il6ra,Il6ra
ENSMUSG00000105941,Gm42809,Gm42809
ENSMUSG00000060671,Atp8b2,Atp8b2
ENSMUSG00000027944,Hax1,Hax1
ENSMUSG00000105552,Gm19710,Gm19710
ENSMUSG00000042520,Ubap2l,Ubap2l
ENSMUSG00000027942,4933434E20Rik,4933434E20Rik
ENSMUSG00000090005,Gm16540,Gm16540
ENSMUSG00000118506,1700094D03Rik,1700094D03Rik
ENSMUSG00000027940,Tpm3,Tpm3
ENSMUSG00000027939,Nup210l,Nup210l
ENSMUSG00000090733,Rps27,Rps27
ENSMUSG00000027935,Rab13,Rab13
ENSMUSG00000027937,Jtb,Jtb
ENSMUSG00000027938,Creb3l4,Creb3l4
ENSMUSG00000052310,Slc39a1,Slc39a1
ENSMUSG00000027936,Crtc2,Crtc2
ENSMUSG00000042404,Dennd4b,Dennd4b
ENSMUSG00000105350,4930537H20Rik,4930537H20Rik
ENSMUSG00000042390,Gatad2b,Gatad2b
ENSMUSG00000027932,Slc27a3,Slc27a3
ENSMUSG00000027933,Ints3,Ints3
ENSMUSG00000027931,Npr1,Npr1
ENSMUSG00000087411,Gm16048,Gm16048
ENSMUSG00000001016,Ilf2,Ilf2
ENSMUSG00000001018,Snapin,Snapin
ENSMUSG00000001017,Chtop,Chtop
ENSMUSG00000044080,S100a1,S100a1
ENSMUSG00000042312,S100a13,S100a13
ENSMUSG00000042306,S100a14,S100a14
ENSMUSG00000074457,S100a16,S100a16
ENSMUSG00000094018,S100a2,S100a2
ENSMUSG00000001021,S100a3,S100a3
ENSMUSG00000001020,S100a4,S100a4
ENSMUSG00000001023,S100a5,S100a5
ENSMUSG00000001025,S100a6,S100a6
ENSMUSG00000063767,S100a7a,S100a7a
ENSMUSG00000056054,S100a8,S100a8
ENSMUSG00000056071,S100a9,S100a9
ENSMUSG00000042250,Pglyrp4,Pglyrp4
ENSMUSG00000096621,Gm5849,Gm5849
ENSMUSG00000091175,9130204L05Rik,9130204L05Rik
ENSMUSG00000042244,Pglyrp3,Pglyrp3
ENSMUSG00000043165,Lor,Lor
ENSMUSG00000104981,Gm43736,Gm43736
ENSMUSG00000104791,4930511M18Rik,4930511M18Rik
ENSMUSG00000106143,Gm43735,Gm43735
ENSMUSG00000056270,Prr9,Prr9
ENSMUSG00000027927,Lelp1,Lelp1
ENSMUSG00000105476,Gm35439,Gm35439
ENSMUSG00000078664,Sprr2a1,Sprr2a1
ENSMUSG00000068893,Sprr2a2,Sprr2a2
ENSMUSG00000074445,Sprr2a3,Sprr2a3
ENSMUSG00000050092,Sprr2b,Sprr2b
ENSMUSG00000042212,Sprr2d,Sprr2d
ENSMUSG00000055030,Sprr2e,Sprr2e
ENSMUSG00000050635,Sprr2f,Sprr2f
ENSMUSG00000046259,Sprr2h,Sprr2h
ENSMUSG00000042157,Sprr2i,Sprr2i
ENSMUSG00000027925,Sprr2j-ps,Sprr2j-ps
ENSMUSG00000042165,Gm9774,Gm9774
ENSMUSG00000054215,Sprr2k,Sprr2k
ENSMUSG00000048455,Sprr1b,Sprr1b
ENSMUSG00000045539,Sprr3,Sprr3
ENSMUSG00000050359,Sprr1a,Sprr1a
ENSMUSG00000045566,Sprr4,Sprr4
ENSMUSG00000102308,2310046K23Rik,2310046K23Rik
ENSMUSG00000049128,Ivl,Ivl
ENSMUSG00000074435,Smcp,Smcp
ENSMUSG00000103523,2210017I01Rik,2210017I01Rik
ENSMUSG00000086848,Lce6a,Lce6a
ENSMUSG00000057609,Lce1a1,Lce1a1
ENSMUSG00000027923,Lce1b,Lce1b
ENSMUSG00000068890,Lce1a2,Lce1a2
ENSMUSG00000042092,Lce1c,Lce1c
ENSMUSG00000103243,Lce1d,Lce1d
ENSMUSG00000068889,Lce1e,Lce1e
ENSMUSG00000042124,Lce1f,Lce1f
ENSMUSG00000103084,Gm38119,Gm38119
ENSMUSG00000027919,Lce1g,Lce1g
ENSMUSG00000049593,Lce1h,Lce1h
ENSMUSG00000068888,Lce1i,Lce1i
ENSMUSG00000068887,Lce1j,Lce1j
ENSMUSG00000095870,Lce1k,Lce1k
ENSMUSG00000059832,Kprp,Kprp
ENSMUSG00000102469,Gm38201,Gm38201
ENSMUSG00000046676,Lce1l,Lce1l
ENSMUSG00000090314,2310050C09Rik,2310050C09Rik
ENSMUSG00000054325,Lce3a,Lce3a
ENSMUSG00000042031,Lce3b,Lce3b
ENSMUSG00000045475,Lce3c,Lce3c
ENSMUSG00000043472,Lce3d,Lce3d
ENSMUSG00000074433,Lce3e,Lce3e
ENSMUSG00000068885,Lce3f,Lce3f
ENSMUSG00000027913,Crct1,Crct1
ENSMUSG00000027912,Lce1m,Lce1m
ENSMUSG00000096879,Gm4858,Gm4858
ENSMUSG00000078657,Crnn,Crnn
ENSMUSG00000049133,Flg2,Flg2
ENSMUSG00000102439,Flg,Flg
ENSMUSG00000102476,Gm37245,Gm37245
ENSMUSG00000041991,Hrnr,Hrnr
ENSMUSG00000041984,Rptn,Rptn
ENSMUSG00000052415,Tchh,Tchh
ENSMUSG00000027908,Tchhl1,Tchhl1
ENSMUSG00000027907,S100a11,S100a11
ENSMUSG00000041959,S100a10,S100a10
ENSMUSG00000103362,Tdpoz2,Tdpoz2
ENSMUSG00000094084,Tdpoz1,Tdpoz1
ENSMUSG00000103350,Gm37596,Gm37596
ENSMUSG00000068879,Gm5773,Gm5773
ENSMUSG00000060256,Tdpoz4,Tdpoz4
ENSMUSG00000058005,Tdpoz3,Tdpoz3
ENSMUSG00000095822,Gm9117,Gm9117
ENSMUSG00000094163,Tdpoz5,Tdpoz5
ENSMUSG00000094328,Gm9125,Gm9125
ENSMUSG00000095251,Gm10697,Gm10697
ENSMUSG00000074424,Gm10696,Gm10696
ENSMUSG00000090268,Gm5286,Gm5286
ENSMUSG00000089696,Gm4778,Gm4778
ENSMUSG00000028145,Them4,Them4
ENSMUSG00000028148,Them5,Them5
ENSMUSG00000105708,Gm36070,Gm36070
ENSMUSG00000091648,C2cd4d,C2cd4d
ENSMUSG00000104669,Gm38411,Gm38411
ENSMUSG00000028150,Rorc,Rorc
ENSMUSG00000105391,Gm43401,Gm43401
ENSMUSG00000044505,Lingo4,Lingo4
ENSMUSG00000097515,1700040D17Rik,1700040D17Rik
ENSMUSG00000041912,Tdrkh,Tdrkh
ENSMUSG00000106032,Gm42463,Gm42463
ENSMUSG00000028141,Oaz3,Oaz3
ENSMUSG00000028140,Mrpl9,Mrpl9
ENSMUSG00000028139,Riiad1,Riiad1
ENSMUSG00000028137,Celf3,Celf3
ENSMUSG00000028136,Snx27,Snx27
ENSMUSG00000106061,Gm43773,Gm43773
ENSMUSG00000104631,Gm43774,Gm43774
ENSMUSG00000105412,Gm43768,Gm43768
ENSMUSG00000005968,Tuft1,Tuft1
ENSMUSG00000085250,Gm15234,Gm15234
ENSMUSG00000068877,Selenbp2,Selenbp2
ENSMUSG00000068876,Cgn,Cgn
ENSMUSG00000038902,Pogz,Pogz
ENSMUSG00000005779,Psmb4,Psmb4
ENSMUSG00000068874,Selenbp1,Selenbp1
ENSMUSG00000005774,Rfx5,Rfx5
ENSMUSG00000087660,B230398E01Rik,B230398E01Rik
ENSMUSG00000038861,Pi4kb,Pi4kb
ENSMUSG00000084846,A730011C13Rik,A730011C13Rik
ENSMUSG00000086288,Gm15265,Gm15265
ENSMUSG00000019338,Zfp687,Zfp687
ENSMUSG00000085956,4930481B07Rik,4930481B07Rik
ENSMUSG00000005625,Psmd4,Psmd4
ENSMUSG00000028126,Pip5k1a,Pip5k1a
ENSMUSG00000008958,Vps72,Vps72
ENSMUSG00000005628,Tmod4,Tmod4
ENSMUSG00000092607,Scnm1,Scnm1
ENSMUSG00000053769,Lysmd1,Lysmd1
ENSMUSG00000013707,Tnfaip8l2,Tnfaip8l2
ENSMUSG00000038777,Sema6c,Sema6c
ENSMUSG00000038766,Gabpb2,Gabpb2
ENSMUSG00000097167,Gm16740,Gm16740
ENSMUSG00000053192,Mllt11,Mllt11
ENSMUSG00000046722,Cdc42se1,Cdc42se1
ENSMUSG00000068860,Gm128,Gm128
ENSMUSG00000028115,Bnipl,Bnipl
ENSMUSG00000015711,Prune1,Prune1
ENSMUSG00000038712,Mindy1,Mindy1
ENSMUSG00000015702,Anxa9,Anxa9
ENSMUSG00000093424,6330562C20Rik,6330562C20Rik
ENSMUSG00000015714,Cers2,Cers2
ENSMUSG00000015697,Setdb1,Setdb1
ENSMUSG00000105734,4930558C23Rik,4930558C23Rik
ENSMUSG00000015522,Arnt,Arnt
ENSMUSG00000028111,Ctsk,Ctsk
ENSMUSG00000038642,Ctss,Ctss
ENSMUSG00000028109,Hormad1,Hormad1
ENSMUSG00000046519,Golph3l,Golph3l
ENSMUSG00000038619,Ensa,Ensa
ENSMUSG00000038612,Mcl1,Mcl1
ENSMUSG00000015850,Adamtsl4,Adamtsl4
ENSMUSG00000028108,Ecm1,Ecm1
ENSMUSG00000028107,Tars2,Tars2
ENSMUSG00000028106,Rprd2,Rprd2
ENSMUSG00000015748,Prpf3,Prpf3
ENSMUSG00000097189,Gm26594,Gm26594
ENSMUSG00000054312,Mrps21,Mrps21
ENSMUSG00000080727,C920021L13Rik,C920021L13Rik
ENSMUSG00000038550,Ciart,Ciart
ENSMUSG00000038543,BC028528,BC028528
ENSMUSG00000015750,Aph1a,Aph1a
ENSMUSG00000038526,Car14,Car14
ENSMUSG00000015749,Anp32e,Anp32e
ENSMUSG00000015745,Plekho1,Plekho1
ENSMUSG00000015747,Vps45,Vps45
ENSMUSG00000038495,Otud7b,Otud7b
ENSMUSG00000045934,Mtmr11,Mtmr11
ENSMUSG00000097204,Gm17690,Gm17690
ENSMUSG00000068856,Sf3b4,Sf3b4
ENSMUSG00000038486,Sv2a,Sv2a
ENSMUSG00000015943,Bola1,Bola1
ENSMUSG00000086556,Gm15444,Gm15444
ENSMUSG00000063689,Hist2h2ab,Hist2h2ab
ENSMUSG00000068855,Hist2h2ac,Hist2h2ac
ENSMUSG00000068854,Hist2h2be,Hist2h2be
ENSMUSG00000081058,Hist2h3c2,Hist2h3c2
ENSMUSG00000093577,Gm20632,Gm20632
ENSMUSG00000063954,Hist2h2aa2,Hist2h2aa2
ENSMUSG00000093553,Gm20633,Gm20633
ENSMUSG00000064220,Hist2h2aa1,Hist2h2aa1
ENSMUSG00000093769,Hist2h3c1,Hist2h3c1
ENSMUSG00000093507,Gm20627,Gm20627
ENSMUSG00000091405,Hist2h4,Hist2h4
ENSMUSG00000093656,Gm20628,Gm20628
ENSMUSG00000074403,Hist2h3b,Hist2h3b
ENSMUSG00000050936,Gm42743,Gm42743
ENSMUSG00000105827,Hist2h2bb,Hist2h2bb
ENSMUSG00000015947,Fcgr1,Fcgr1
ENSMUSG00000097851,Platr30,Platr30
ENSMUSG00000097807,Gm26553,Gm26553
