5,0.5,2,59024,sa2_clustering_L3_1-1-1,0
4,0.4,1,47266,sa2_clustering_L3_1-1-2,0
3,0.3,2,53646,sa2_clustering_L3_1-2-1,0
2,0.2,2,17636,sa2_clustering_L3_1-2-2,0
3,0.3,2,43662,sa2_clustering_L3_1-3-1,0
1,0.1,1,23304,sa2_clustering_L3_1-3-2,1
3,0.3,2,35159,sa2_clustering_L3_1-4-1,0
3,0.3,2,22872,sa2_clustering_L3_1-4-2,0
1,0.1,1,459,sa2_clustering_L3_1-4-3,1
4,0.4,4,20443,sa2_clustering_L3_1-5-1,0
3,0.3,2,5708,sa2_clustering_L3_1-5-2,0
4,0.4,3,1537,sa2_clustering_L3_1-28-1,0
8,0.8,19,26143,sa2_clustering_L3_2-1-1,0
18,1.8,31,10827,sa2_clustering_L3_2-1-2,0
2,0.2,7,9361,sa2_clustering_L3_2-1-3,1
19,1.9,20,4070,sa2_clustering_L3_2-1-4,0
2,0.2,4,2213,sa2_clustering_L3_2-1-5,0
6,0.6,6,1536,sa2_clustering_L3_2-1-6,0
13,1.3,9,937,sa2_clustering_L3_2-1-7,0
19,1.9,18,2462,sa2_clustering_L3_2-7-1,0
3,0.3,2,1425,sa2_clustering_L3_2-7-2,0
10,1,8,1340,sa2_clustering_L3_2-7-3,0
4,0.4,5,1078,sa2_clustering_L3_2-7-4,0
1,0.1,2,1070,sa2_clustering_L3_2-7-5,0
5,0.5,7,1051,sa2_clustering_L3_2-7-6,0
4,0.4,4,880,sa2_clustering_L3_2-7-7,0
1,0.1,2,855,sa2_clustering_L3_2-7-8,0
4,0.4,4,805,sa2_clustering_L3_2-7-9,0
2,0.2,2,802,sa2_clustering_L3_2-7-10,0
3,0.3,2,678,sa2_clustering_L3_2-7-11,0
5,0.5,3,671,sa2_clustering_L3_2-7-12,0
3,0.3,2,516,sa2_clustering_L3_2-7-13,0
3,0.3,2,1574,sa2_clustering_L3_2-9-1,0
2,0.2,2,1482,sa2_clustering_L3_2-9-2,0
2,0.2,2,1328,sa2_clustering_L3_2-9-3,0
2,0.2,2,1241,sa2_clustering_L3_2-9-4,0
4,0.4,2,992,sa2_clustering_L3_2-9-5,0
2,0.2,2,792,sa2_clustering_L3_2-9-6,0
6,0.6,4,717,sa2_clustering_L3_2-9-7,0
3,0.3,2,624,sa2_clustering_L3_2-9-8,0
4,0.4,4,567,sa2_clustering_L3_2-9-9,0
8,0.8,4,565,sa2_clustering_L3_2-9-10,0
2,0.2,2,460,sa2_clustering_L3_2-9-11,0
3,0.3,2,1484,sa2_clustering_L3_2-10-1,0
8,0.8,6,1071,sa2_clustering_L3_2-10-2,0
2,0.2,2,826,sa2_clustering_L3_2-10-3,0
5,0.5,6,710,sa2_clustering_L3_2-10-4,0
4,0.4,5,708,sa2_clustering_L3_2-10-5,0
4,0.4,3,656,sa2_clustering_L3_2-10-6,0
6,0.6,5,626,sa2_clustering_L3_2-10-7,1
2,0.2,2,569,sa2_clustering_L3_2-10-8,0
5,0.5,2,521,sa2_clustering_L3_2-10-9,0
2,0.2,2,476,sa2_clustering_L3_2-10-10,0
5,0.5,3,437,sa2_clustering_L3_2-10-11,1
3,0.3,4,1103,sa2_clustering_L3_2-11-1,0
2,0.2,2,876,sa2_clustering_L3_2-11-2,1
3,0.3,3,821,sa2_clustering_L3_2-11-3,0
2,0.2,2,695,sa2_clustering_L3_2-11-4,0
2,0.2,2,689,sa2_clustering_L3_2-11-5,0
2,0.2,2,624,sa2_clustering_L3_2-11-6,0
2,0.2,2,743,sa2_clustering_L3_2-12-1,1
1,0.1,1,682,sa2_clustering_L3_2-12-2,1
5,0.5,4,644,sa2_clustering_L3_2-12-3,0
3,0.3,3,624,sa2_clustering_L3_2-12-4,1
3,0.3,3,584,sa2_clustering_L3_2-12-5,0
3,0.3,2,444,sa2_clustering_L3_2-12-6,1
5,0.5,2,408,sa2_clustering_L3_2-12-7,0
1,0.1,1,929,sa2_clustering_L3_2-13-1,1
2,0.2,2,670,sa2_clustering_L3_2-13-2,0
5,0.5,4,534,sa2_clustering_L3_2-13-3,0
1,0.1,1,440,sa2_clustering_L3_2-13-4,0
2,0.2,2,400,sa2_clustering_L3_2-13-5,0
2,0.2,2,1671,sa2_clustering_L3_2-14-1,0
6,0.6,5,1380,sa2_clustering_L3_2-14-2,0
2,0.2,3,739,sa2_clustering_L3_2-14-3,0
4,0.4,2,506,sa2_clustering_L3_2-14-4,0
3,0.3,2,3375,sa2_clustering_L3_2-15-1,0
1,0.1,1,777,sa2_clustering_L3_2-18-1,1
2,0.2,2,660,sa2_clustering_L3_2-18-2,0
4,0.4,3,467,sa2_clustering_L3_2-18-3,0
3,0.3,3,1665,sa2_clustering_L3_2-21-1,1
12,1.2,8,843,sa2_clustering_L3_2-21-2,0
3,0.3,2,604,sa2_clustering_L3_2-22-1,0
4,0.4,2,482,sa2_clustering_L3_2-22-2,0
